District code,State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Workers,Male_Workers,Female_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Rural_Households,Urban_Households,LPG_or_PNG_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Total_Power_Parity,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Above_Rs_545000,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Ownership_Owned_Households,Ownership_Rented_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,sex_ratio,Literacy Rate,Youth_Dependency_Ratio,Elderly_Dependency_Ratio
4,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,140802,77785,63017,86236,56301,29935,12732,19083,20874,16938,9826,3077,408,82938,39854,122792,51873,39839,12034,88929,8266,3763,1222,38622,10341,108239,604,1171,20126,28,4,40370,7774,3285,376,15824,235,1005,214,39,87,27,7,11887,17649,87532,35561,17488,10366,3835,1252,1643,16646,1419,9218,1963,81.0,61.0,246.1460588847333,49.17746969995219
5,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,476835,251899,224936,261724,163333,98391,55762,72024,69219,46062,29517,13962,1884,288430,164044,452474,161393,117677,43716,315442,54264,31583,3930,71616,32604,431279,958,11188,83,10,2,132139,15269,13160,28,62900,346,3342,629,117,268,78,12,19789,16586,304979,109818,61334,70995,9180,1148,1250,87711,762,33146,17078,89.0,55.0,277.71312535285654,55.85058915660457
7,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,616435,326109,290326,389204,228499,160705,69396,82715,106411,91522,47694,24330,4504,426572,181297,607869,200431,161548,38883,416004,69533,21566,3952,105380,540063,64234,1828,9551,24,16,2,181374,33473,32772,20,109422,1443,6112,936,139,340,174,28,47372,26033,357864,160123,97684,87230,15954,3596,4489,114949,2179,36594,52019,89.0,63.0,223.49318961048695,61.00560194350593
10,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,1236829,651124,585705,748584,431746,316838,88911,173309,178723,176409,132727,121856,32114,904049,310225,1214274,407188,333151,74037,829641,12228,10408,20095,364457,42540,1177342,2746,12187,285,74,2,4518,257721,138119,83,165403,16413,33831,3099,251,427,668,445,164263,164002,693238,351561,190330,117581,23234,6314,7640,160923,5135,7457,157176,90.0,61.0,197.18853911554467,54.138542102224086
12,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,560440,293064,267376,293958,178326,115632,36201,54808,73991,67368,40931,31286,5897,310482,190369,500851,188420,138428,49992,372020,49746,34080,10615,93979,13840,535159,1109,9440,35,6,18,147520,21703,16828,680,73629,1537,5293,1068,213,430,119,32,61749,53836,342601,137032,80111,55081,15020,3099,3612,80452,459,19320,50893,91.0,52.0,250.01532488761748,58.46152723451456
16,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,409936,213641,196295,219083,138620,80463,43794,47350,62719,48359,31416,12647,1846,248131,163565,411696,151912,101144,50768,258024,69947,12199,1932,67834,187621,220614,472,422,21,22,42,122267,11350,7963,4,61831,596,3077,1103,247,467,99,19,26716,23060,263576,93189,52744,60875,8043,1127,1324,76189,1997,35304,25054,92.0,53.0,282.8402493856571,56.598954812263244
19,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,554985,296784,258201,322354,197543,124811,58567,80129,86008,55024,29657,17345,4030,330760,194838,525598,243672,163845,79827,311313,113020,11396,2641,116615,489044,59771,1962,3418,106,57,235,148664,34696,20008,21,73999,1214,5744,1278,218,492,171,37,21542,18063,339145,140785,74757,62914,15369,3544,4377,90329,2544,36891,21585,87.0,58.0,240.8956920126434,53.100117199985796
21,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,1529958,813821,716137,1137135,641916,495219,135391,185962,253542,261852,159257,146501,30616,1173121,268279,1441400,508622,417456,91166,1021336,68613,36873,10589,392547,1289240,107489,12104,114272,470,1987,321,254566,248043,197168,141,294739,19905,46657,3525,404,827,682,398,231365,162522,816827,435895,275585,215803,40735,8759,10378,274859,18255,46394,233123,88.0,74.0,187.39077071313045,63.2227944803221
23,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,519080,261320,257760,323842,186064,137778,56272,96789,67653,64515,40440,15506,3252,344427,154575,499002,294035,158791,135244,225045,196665,9193,4521,83656,479782,32455,1559,2745,1740,57,14,186395,13836,21458,4,96082,1615,5117,950,118,276,222,97,46292,52553,306555,130606,81566,66941,17582,2765,3143,94367,6546,55088,36220,99.0,62.0,234.717394300415,62.451954734085724
24,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,1510075,750591,759484,1152640,606443,546197,127699,243617,223099,284124,192936,91236,13577,1176288,271892,1448180,675170,403756,271414,834905,303007,54849,15662,301652,1461140,19797,3023,8929,14511,194,208,588321,39007,148361,43,330081,8053,22753,2878,317,800,706,369,229975,220258,766581,419172,319420,220761,52298,8867,10052,314828,16832,105689,200604,101.0,76.0,182.87982021699924,76.20260895288807
